Position,Album,Artists,Total,Daily
1,Un Verano Sin Ti,Bad Bunny,16581176490,9459643
2,Divide (÷),Ed Sheeran,14838482809,3945481
3,Starboy,The Weeknd,14192066077,8278376
4,Hollywood's Bleeding,Post Malone,12720228976,4872849
5,Sour,Olivia Rodrigo,12407811611,8301617
6,After Hours,The Weeknd,12383146044,5637110
7,Dua Lipa,Dua Lipa,12343256808,4502843
8,Future Nostalgia,Dua Lipa,12305262803,4905571
9,Beerbongs & Bentleys,Post Malone,11773045750,2455292
10,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,11056028655,3950025
11,?,XXXTentacion,10750013053,4026087
12,Multiply (x),Ed Sheeran,10659594212,2353836
13,Lover,Taylor Swift,10338825450,8838913
14,Purpose,Justin Bieber,10165818664,3088583
15,Scorpion,Drake,10102047403,2477318
16,YHLQMDLG,Bad Bunny,9805341603,3546052
17,Views,Drake,9637119887,3163762
18,Don't Smile At Me,Billie Eilish,9411721699,4779995
19,AM,Arctic Monkeys,9400075074,6518000
20,Beauty Behind The Madness,The Weeknd,9347682108,3527901
21,Fine Line,Harry Styles,9288109311,4000410
22,Goodbye & Good Riddance,Juice WRLD,9052584420,3317517
23,Midnights,Taylor Swift,9013856375,6090277
24,Stoney,Post Malone,9008018008,2113318
25,Astroworld,Travis Scott,8879125464,4379011
26,In The Lonely Hour,Sam Smith,8695031217,2860695
27,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,8658560931,4107035
28,17,XXXTentacion,8422504240,4538805
29,Doo-Wops & Hooligans,Bruno Mars,8167915555,5327783
30,1989,Taylor Swift,8124992906,3321788
31,Justice,Justin Bieber,8102030645,3279724
32,SOS,SZA,8095297621,10598406
33,Damn.,Kendrick Lamar,8062318161,5328238
34,Folklore,Taylor Swift,8000074111,5845665
35,Evolve,Imagine Dragons,7996752209,3598009
36,Reputation,Taylor Swift,7990100157,4970092
37,Harry's House,Harry Styles,7783245085,5721920
38,"Shoot For The Stars, Aim For The Moon",Pop Smoke,7760419550,2685546
39,"Thank U, Next",Ariana Grande,7753324352,2253594
40,Planet Her,Doja Cat,7727036013,3352588
41,Born To Die,Lana Del Rey,7566216629,6144417
42,Shawn Mendes,Shawn Mendes,7347940704,1932530
43,F*ck Love,The Kid Laroi,7342619950,2564658
44,Blurryface,Twenty One Pilots,7117731785,3066969
45,More Life,Drake,7093764022,2118826
46,Night Visions,Imagine Dragons,7078793582,3384206
47,Anti,Rihanna,7054972144,3415657
48,The Eminem Show,Eminem,6997173330,4063553
49,21,Adele,6989736237,3640799
50,Illuminate,Shawn Mendes,6970707006,2624547
51,Teenage Dream,Katy Perry,6815211935,5307991
52,25,Adele,6684250975,2479616
53,Dangerous Woman,Ariana Grande,6612414297,2557773
54,My Everything,Ariana Grande,6529219958,2557862
55,Hamilton,Lin-Manuel Miranda & Various Artists,6527058561,2611689
56,The Fame / The Fame Monster,Lady Gaga,6457665278,4833632
57,El Último Tour Del Mundo,Bad Bunny,6408147235,2361049
58,Legends Never Die,Juice WRLD,6311119068,1920834
59,V,Maroon 5,6117806459,2718960
60,American Teen,Khalid,6079190685,1631923
61,Nine Track Mind,Charlie Puth,6065788965,2748311
62,No.6 Collaborations Project,Ed Sheeran,6033299620,1096329
63,Hozier,Hozier,6027152532,3731057
64,This Is Acting,Sia,5997624766,2810156
65,Luv Is Rage 2,Lil Uzi Vert,5977342114,2559979
66,Unorthodox Jukebox,Bruno Mars,5972431683,3568183
67,Death Race For Love,Juice WRLD,5883187456,1758471
68,Graduation,Kanye West,5860771383,4493012
69,So Good,Zara Larsson,5858741116,2057706
70,2014 Forest Hills Drive,J. Cole,5849980021,2789146
71,Equals (=),Ed Sheeran,5834465147,2148127
72,X 100pre,Bad Bunny,5804992528,1963418
73,Speak Your Mind,Anne-Marie,5760982814,1545159
74,Red Pill Blues,Maroon 5,5748506720,1294771
75,Montero,Lil Nas X,5731735153,1410792
76,A Star Is Born,Lady Gaga & Bradley Cooper,5729030836,2164199
77,Collage,The Chainsmokers,5633976960,1989934
78,Mañana Será Bonito,Karol G,5615931426,6290369
79,Nevermind,Nirvana,5590824836,3475100
80,24K Magic,Bruno Mars,5525814748,2595243
81,Happier Than Ever,Billie Eilish,5440995387,3531183
82,Blonde,Frank Ocean,5432198354,5269731
83,Love Goes,Sam Smith,5427154730,1466228
84,Dangerous: The Double Album,Morgan Wallen,5357827009,4738415
85,Rumours,Fleetwood Mac,5357726877,3587923
86,"Good Kid, M.A.A.D City",Kendrick Lamar,5353591573,3741900
87,Different World,Alan Walker,5345647131,1813124
88,Hybrid Theory,Linkin Park,5310123385,3766389
89,Spider-Man: Into The Spider-Verse,Various Artists,5305594468,2347085
90,What Is Love?,Clean Bandit,5243020853,1513109
91,Overexposed,Maroon 5,5232303286,3280350
92,Vida,Luis Fonsi,5221101708,1114096
93,Positions,Ariana Grande,5212615119,1773559
94,Birds In The Trap Sing McKnight,Travis Scott,5189184461,2844953
95,Certified Lover Boy,Drake,5184804724,2622847
96,The Greatest Showman,Various Artists,5165456192,1828087
97,Good Girl Gone Bad,Rihanna,5129043363,3686514
98,Romance,Camila Cabello,5109398277,1806608
99,Red (Taylor's Version),Taylor Swift,5068620745,3867995
100,Blue,Jonas Blue,5056121369,1033549
101,Cry Baby,Melanie Martinez,5036886178,3420896
102,Take Care,Drake,4990011769,2295853
103,Sweetener,Ariana Grande,4951849667,1112230
104,One Thing At A Time,Morgan Wallen,4951237550,8635879
105,The Life Of Pablo,Kanye West,4936077437,2118867
106,Heroes & Villains,Metro Boomin,4929559337,5605548
107,KG0516,Karol G,4905335972,2017052
108,Made In The A.M.,One Direction,4891078165,1883655
109,Back From The Edge,James Arthur,4811924776,2783595
110,Four,One Direction,4804644530,3158326
111,The Heist,Macklemore & Ryan Lewis,4769349345,2633607
112,Mercury - Act 1 / 2,Imagine Dragons,4730431312,3290263
113,Manic,Halsey,4728924605,1301434
114,Memories...Do Not Open,The Chainsmokers,4714939932,2105790
115,Evermore,Taylor Swift,4699523030,2917580
116,7,David Guetta,4692150718,767482
117,Nothing But The Beat,David Guetta,4679179227,2040670
118,Appetite For Destruction,Guns N' Roses,4678612988,0
119,18 Months,Calvin Harris,4674730417,3355455
120,Vice Versa,Rauw Alejandro,4662821874,4200031
121,Heaven & Hell,Ava Max,4657726750,1555698
122,Handwritten,Shawn Mendes,4647173609,1250148
123,Get Rich Or Die Tryin',50 Cent,4630123449,3071267
124,Midnight Memories,One Direction,4602591289,2457494
125,Invasion Of Privacy,Cardi B,4601937759,1018778
126,Motion,Calvin Harris,4601091683,3298216
127,2001,Dr. Dre,4600114362,2334358
128,Thriller,Michael Jackson,4578657222,2836438
129,The Martin Garrix Collection,Martin Garrix,4560377781,1218577
130,Homerun,Paulo Londra,4496602826,1690635
131,Free Spirit,Khalid,4484851432,1071616
132,Black Panther The Album Music From And Inspired By,Kendrick Lamar & Various Artists,4465119081,2429152
133,Ctrl,SZA,4463842447,3015113
134,Recovery,Eminem,4457322656,1984652
135,The Marshall Mathers LP,Eminem,4435264290,2480940
136,I Love You.,The Neighbourhood,4435218681,3522236
137,Stories,Avicii,4426622172,1881845
138,Génesis,Peso Pluma,4407484733,5782536
139,Harry Styles,Harry Styles,4366887806,1300572
140,Meteora,Linkin Park,4363782443,2863308
141,A Head Full Of Dreams,Coldplay,4356536075,2030470
142,Dawn FM,The Weeknd,4351799705,2878912
143,TRUE,Avicii,4327529410,2005246
144,Unapologetic,Rihanna,4299476938,2505180
145,Parachutes,Coldplay,4289420131,2967366
146,Christmas,Michael Bublé,4276665941,56211
147,This One's For You,Luke Combs,4261809817,3710117
148,Welcome To The Madhouse,Tones And I,4261475864,1172078
149,Channel Orange,Frank Ocean,4256793908,3824124
150,Peace Is The Mission,Major Lazer,4249585148,1620937
151,Cloud Nine,Kygo,4249229906,802947
152,Fifty Shades Of Grey,Various Artists,4204021310,1293743
153,Californication,Red Hot Chili Peppers,4200127222,2460698
154,Hot Pink,Doja Cat,4167782546,1378663
155,Pure Heroine,Lorde,4152445469,1465298
156,Currents,Tame Impala,4091129216,2829779
157,Drive,Tiësto,4085577035,3424319
158,Nothing Was The Same,Drake,4079416653,1214490
159,Prism,Katy Perry,4055990173,1882318
160,Dream Your Life Away,Vance Joy,4055709147,2180374
161,Dreamland,Glass Animals,4046667986,1808364
162,My Beautiful Dark Twisted Fantasy,Kanye West,4037040184,2240340
163,Stay +,Zedd,4036768247,948905
164,Metallica (Black Album),Metallica,4034543952,2458047
165,Odisea,Ozuna,4025794353,1778328
166,(What's The Story) Morning Glory?,Oasis,4016567769,1987567
167,Camila,Camila Cabello,4010364618,1157340
168,"My Dear Melancholy,",The Weeknd,3985241978,2113899
169,Friends Keep Secrets,Benny Blanco,3961342880,1094120
170,Back To Black,Amy Winehouse,3951055466,3207848
171,Trapsoul,Bryson Tiller,3946600076,2570482
172,Fearless (Taylor's Version),Taylor Swift,3912893744,3586908
173,Plus (+),Ed Sheeran,3901488047,735634
174,Delirium,Ellie Goulding,3884912864,1706285
175,Emmanuel,Anuel AA,3872127238,1169837
176,Moana,Lin-Manuel Miranda & Various Artists,3863237616,1529379
177,Loud,Rihanna,3854382509,2731630
178,Utopia,Travis Scott,3841734460,8270631
179,The Marshall Mathers LP 2,Eminem,3840305260,1136724
180,Music To Be Murdered By,Eminem,3835460568,1379043
181,Nadie Sabe Lo Que Va A Pasar Mañana,Bad Bunny,3833932892,6087538
182,Las Mujeres Ya No Lloran,Shakira,3829908710,3280198
183,Oasis,J Balvin & Bad Bunny,3829226614,1945829
184,Know-It-All,Alessia Cara,3818033617,923910
185,I Met You When I Was 18. (The Playlist),Lauv,3818015616,900172
186,Hot Fuss,The Killers,3773730011,2251198
187,I Am...Sasha Fierce,Beyoncé,3765856713,1290372
188,Favourite Worst Nightmare,Arctic Monkeys,3764198387,2566361
189,7,Lil Nas X,3748939972,568335
190,1989 (Taylor's Version),Taylor Swift,3738587517,5802914
191,A Rush Of Blood To The Head,Coldplay,3737315387,2270807
192,Back In Black,AC/DC,3710329106,2976258
193,Igor,"Tyler, The Creator",3659910502,2747879
194,Be,BTS,3657332463,1053170
195,Origins,Imagine Dragons,3655307529,1540045
196,Title,Meghan Trainor,3636405364,1225197
197,Meet The Woo 2,Pop Smoke,3634145167,1410483
198,Toxicity,System Of A Down,3619072473,2931950
199,Native,OneRepublic,3615304806,2076748
200,We Love You Tecca,Lil Tecca,3609041721,1748489
201,Flower Boy,"Tyler, The Creator",3586508221,3146979
202,Eternal Atake / Lil Uzi Vert VS. The World 2,Lil Uzi Vert,3584340879,915791
203,Encore,DJ Snake,3580690005,1299509
204,A Night At The Opera,Queen,3576071082,1473923
205,Perception,NF,3560297550,1076891
206,Jordi,Maroon 5,3559618495,1131967
207,Cuz I Love You,Lizzo,3559555538,631511
208,Songs About Jane,Maroon 5,3546689556,2202724
209,Indigo,Chris Brown,3545304831,1586204
210,The Black Parade / Living With Ghosts,My Chemical Romance,3544433001,2051290
211,"Fórmula, Vol. 2",Romeo Santos,3543782683,2473376
212,The Thrill Of It All,Sam Smith,3539394611,1018479
213,Golden,Jung Kook,3538143568,7293799
214,Please Excuse Me For Being Antisocial,Roddy Ricch,3531460201,1233287
215,My Worlds,Justin Bieber,3522428468,2559891
216,Listen,David Guetta,3518738297,891607
217,Mantra,Sebastian Yatra,3507698136,1305999
218,1000 Forms Of Fear,Sia,3500525195,1366301
219,Meduza,Meduza,3499342842,1479680
220,30,Adele,3476451002,1510623
221,Culture II,Migos,3475703081,714715
222,Nu King,Jason Derulo,3471805484,1017796
223,Kid Krow,Conan Gray,3468878750,1910483
224,Narrated For You,Alec Benjamin,3460550609,2083927
225,Plastic Hearts,Miley Cyrus,3443524191,1326439
226,Cigarettes After Sex,Cigarettes After Sex,3434771725,4014027
227,Red,Taylor Swift,3433179199,1054189
228,The Album,Blackpink,3421087475,1299572
229,Icarus Falls,Zayn,3415639171,1114098
230,Take Me Home,One Direction,3412391483,1057655
231,Jose,J Balvin,3400577792,998578
232,My Turn,Lil Baby,3392236597,1715070
233,What You See Is What You Get / What You See Ain't Always What You Get,Luke Combs,3389641498,1990517
234,El Comienzo,Grupo Frontera,3382925365,4140001
235,Voicenotes,Charlie Puth,3381393762,985563
236,If You're Reading This It's Too Late,Drake,3368016759,731471
237,Ultraviolence,Lana Del Rey,3367616003,3336638
238,I,Felix Jaehn,3354204720,1126102
239,The Goat,Polo G,3319280371,1531488
240,Ballads 1,Joji,3313219462,945633
241,Love Yourself: Tear,BTS,3308995430,1081493
242,How I'm Feeling,Lauv,3305045622,716635
243,Smoke + Mirrors,Imagine Dragons,3304613754,985907
244,Kamikaze,Eminem,3299715917,723445
245,A Place We Knew,Dean Lewis,3295634953,1157089
246,Slippery When Wet,Bon Jovi,3291518134,2254662
247,Guts,Olivia Rodrigo,3287228353,8285591
248,Beyoncé,Beyoncé,3283591344,919030
249,Norman Fucking Rockwell!,Lana Del Rey,3282687616,2566878
250,Saturday Night Fever,Bee Gees & Various Artists,3278697069,2266930
251,Speak Now,Taylor Swift,3267732983,972451
252,Dark Lane Demo Tapes,Drake,3256513424,1340161
253,Phoenix,Rita Ora,3251110364,495997
254,The Pinkprint,Nicki Minaj,3242139709,935116
255,Wings / You Never Walk Alone,BTS,3219354872,937657
256,Freudian,Daniel Caesar,3209825025,2676348
257,I Cry When I Laugh,Jess Glynne,3201567508,1355886
258,"Feliz Cumpleaños, Ferxxo, Te Pirateamos El Álbum",Feid,3195955210,3395164
259,Revenge,XXXTentacion,3193573369,1653476
260,Abbey Road,The Beatles,3190671555,2084824
261,Changes,Justin Bieber,3185238018,731350
262,The Tortured Poets Department,Taylor Swift,3181624840,37747494
263,All Eyez On Me,2Pac,3181521101,1500765
264,Revival,Selena Gomez,3178019677,568255
265,Talk That Talk,Rihanna,3174764643,2221124
266,Queen Of The Clouds,Tove Lo,3172660154,1106169
267,Youngblood,5 Seconds of Summer,3165236041,917363
268,El Dorado,Shakira,3160856777,954408
269,Another Friday Night,Joel Corry,3151217285,1293615
270,Her Loss,Drake & 21 Savage,3141168558,1933907
271,54+1,Danny Ocean,3140689308,1501393
272,Encore,Eminem,3136491670,2053402
273,Long Way Down,Tom Odell,3129140811,2480000
274,Dummy Boy,6ix9ine,3107786597,973764
275,Not All Heroes Wear Capes,Metro Boomin,3105528328,1859209
276,Balas Perdidas,Morat,3086322362,2076621
277,Hoodie SZN,A Boogie Wit da Hoodie,3067969170,1046549
278,Vibras,J Balvin,3067484787,739560
279,Flicker,Niall Horan,3058940362,1017140
280,The Twilight Saga: Breaking Dawn - Part 1,Various Artists,3055667326,2440138
281,Only Human,Calum Scott,3049143159,1081695
282,One More Love,David Guetta,3038412259,1827147
283,Die Lit,Playboi Carti,3038088764,1772787
284,Carte Blanche,DJ Snake,3035669061,657885
285,Barbie The Album,Various Artists,3026411301,3725350
286,Confessions,Usher,3018782410,1891933
287,LP1,Liam Payne,3010130560,410979
288,Funk Wav Bounces Vol.1,Calvin Harris,3008038207,847432
289,Fénix,Nicky Jam,3007888286,822305
290,The Neighbourhood / Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,3006502881,3229719
291,Cosmic,Bazzi,3003610415,682565
292,Swimming,Mac Miller,2994993334,1452123
293,Rare,Selena Gomez,2985174701,948810
294,The Search,NF,2980863137,1168888
295,The Game,Queen,2976634884,2117784
296,Stick Season,Noah Kahan,2971045422,7554338
297,The Wall,Pink Floyd,2967319507,1303678
298,Only By The Night,Kings of Leon,2961606121,2013580
299,Frozen,Various Artists,2943875840,1166923
300,Renaissance,Beyoncé,2941682144,1447321
301,Thats What They All Say,Jack Harlow,2937093049,850293
302,Death Of A Bachelor,Panic! At The Disco,2935583493,866240
303,Dharma,Sebastian Yatra,2917522107,1215853
304,Watch The Throne,Jay-Z & Kanye West,2915753918,1402153
305,Viva La Vida Or Death And All His Friends,Coldplay,2914964184,1730231
306,I Am > I Was,21 Savage,2905859175,1764079
307,The Lockdown Sessions,Elton John,2903536520,1693188
308,Whole Lotta Red,Playboi Carti,2896509852,2422277
309,If I Know Me,Morgan Wallen,2890496420,1824758
310,Man On The Moon: The End Of Day,Kid Cudi,2883018778,1109809
311,Cleopatra,The Lumineers,2878162786,1255347
312,Ghost Stories,Coldplay,2864198354,1817925
313,Nectar,Joji,2856874206,1117472
314,Endless Summer Vacation,Miley Cyrus,2855366229,2883593
315,Donda,Kanye West,2854117927,1030853
316,The E.N.D. (The Energy Never Dies),Black Eyed Peas,2847444779,1827078
317,We Sing. We Dance. We Steal Things.,Jason Mraz,2840928896,977128
318,Stadium Arcadium,Red Hot Chili Peppers,2837068720,1448692
319,Culture,Migos,2834926057,410934
320,Up All Night,One Direction,2827479881,1658806
321,Ready To Die,The Notorious B.I.G.,2817475858,1189040
322,The Lumineers,The Lumineers,2804678704,1217956
323,Chaos And The Calm,James Bay,2803449107,640497
324,All The Little Lights,Passenger,2795259537,1094623
325,Wiped Out!,The Neighbourhood,2793344413,1787026
326,Grateful,DJ Khaled,2791436732,999448
327,Final (Vol.1),Enrique Iglesias,2790031003,711199
328,Pray For The Wicked,Panic! At The Disco,2789846078,658517
329,Trolls,Various Artists,2786648495,859261
330,Bangerz,Miley Cyrus,2785469004,965714
331,Map Of The Soul: Persona,BTS,2782992323,739516
332,Aura,Ozuna,2779586205,551104
333,Torches X,Foster The People,2778066952,1565195
334,19,Adele,2778020342,1028017
335,Lukas Graham (Blue Album),Lukas Graham,2774340863,1155446
336,Exodus,Bob Marley & The Wailers,2772069088,2072263
337,Safe Haven,Ruth B.,2769566226,1874262
338,Afrodisíaco,Rauw Alejandro,2765655027,1463837
339,Glory Days,Little Mix,2763459768,581852
340,Love In The Future,John Legend,2753709793,1201861
341,Expectations,Bebe Rexha,2752954256,523022
342,Blame It On Baby,DaBaby,2750189400,409271
343,Mind Of Mine,Zayn,2741064286,569000
344,Legendary,Tyga,2736340810,598837
345,Demon Days,Gorillaz,2734017679,1653845
346,Fighting Demons,Juice WRLD,2733484634,1056286
347,For All The Dogs,Drake,2730428424,4344920
348,Colores,J Balvin,2727657501,704904
349,Motomami,Rosalía,2725860149,1429348
350,Wild Ones,Flo Rida,2723952148,1602503
351,DNCE,DNCE,2722545418,747740
352,Playboi Carti,Playboi Carti,2717363409,1454822
353,The Time Of Our Lives,Miley Cyrus,2717016380,1468206
354,Savage Mode II,21 Savage & Metro Boomin,2714253855,2704542
355,Revenge Of The Dreamers III,J. Cole & Various Artists,2711974587,962224
356,Hopeless Fountain Kingdom,Halsey,2711695826,469092
357,Bad,Michael Jackson,2711194987,0
358,An Evening With Silk Sonic,Bruno Mars & Anderson .Paak.,2688434088,1527081
359,Loose,Nelly Furtado,2687203438,2364294
360,Future,Future,2686988802,1058096
361,Drip Harder,Lil Baby,2684003356,1072865
362,Fifty Shades Darker,Various Artists,2681495296,820406
363,High Expectations,Mabel,2679268195,480373
364,El Dorado,24kGoldn,2673291973,780133
365,Rodeo,Travis Scott,2669062792,2035068
366,Born This Way,Lady Gaga,2666122574,2176116
367,In Between Dreams,Jack Johnson,2652915293,1298414
368,Papi Juancho,Maluma,2652465002,1005825
369,Easy Money Baby,Myke Towers,2649027590,1728948
370,Badlands,Halsey,2647765986,578571
371,"""Awaken, My Love!""",Childish Gambino,2631812357,1196525
372,Prayer,Robin Schulz,2625285356,955516
373,Melodrama,Lorde,2622812174,833913
374,"Come Over When You're Sober, Pt. 2",Lil Peep,2622105247,1211493
375,American Beauty/American Psycho,Fall Out Boy,2620538666,1001500
376,The Truth About Love,P!nk,2615956631,1822963
377,Fetty Wap,Fetty Wap,2613361326,758950
378,Stargazing,Kygo,2606256776,523304
379,Merry Christmas,Mariah Carey,2604458629,82394
380,ADN,Manuel Turizo,2602443459,588991
381,Hall Of Fame,Polo G,2602066505,864386
382,Without Warning,"21 Savage, Offset & Metro Boomin",2600085755,1623555
383,4,Beyoncé,2599099569,642467
384,When It's Dark Out,G-Eazy,2598429969,637929
385,Bad Blood,Bastille,2596447820,893986
386,Donde Quiero Estar,Quevedo,2594195048,1799327
